,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,[M001-00211] BRIMONIDINA TARTRATO 0.2% +TIMOLOL 0.5% (COMBIGAN),BRIMONIDINA TARTRATO 0.2% +TIMOLOL 0.5% (COMBIGAN),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00213] LATANOPROST 0.005% (LAPIO LP),LATANOPROST 0.005% (LAPIO LP),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00214] TARTRATO DE BRIMONIDINA 0.2% (CITOL BRIM),TARTRATO DE BRIMONIDINA 0.2% (CITOL BRIM),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00223] IVERMECTINA 0.1 % \ METRONIDATOL 1 % (PRERADO MAGISTRAL),IVERMECTINA 0.1 % \ METRONIDATOL 1 % (PRERADO MAGISTRAL),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00224] FLUORESCEIN SODIUM OPHTHALMIC STRIPS USP (BIO FLUORO),FLUORESCEIN SODIUM OPHTHALMIC STRIPS USP (BIO FLUORO),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00236] TIMOLOL 0,5% (TIOF)","TIMOLOL 0,5% (TIOF)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00239] LATANOPROST 0.005% (GAAP),LATANOPROST 0.005% (GAAP),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00241] NUMAQULA VITAMIN (SUPLEMENTO AREDS2 - FORMULA +),NUMAQULA VITAMIN (SUPLEMENTO AREDS2 - FORMULA +),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00242] INSULINA 0.5% GOTAS,INSULINA 0.5% GOTAS,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00243] CARBOXIMETILCELULOSA SODICA 0.5% GLICEROL 0.9% (CRISTAL TEARS PLUS),CARBOXIMETILCELULOSA SODICA 0.5% GLICEROL 0.9% (CRISTAL TEARS PLUS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00244] LOTEPREDNOL ETABONATO 0,5% (LOTESOFT)","LOTEPREDNOL ETABONATO 0,5% (LOTESOFT)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00245] HIPROMELOSA 0,3% (HUMED)","HIPROMELOSA 0,3% (HUMED)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00246] PILOCARPINA 1% (PREPARADO) 5 ml,PILOCARPINA 1% (PREPARADO) 5 ml,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00247] SULFATO DE ATROPINA 0.01% (ALLEANCE PF),SULFATO DE ATROPINA 0.01% (ALLEANCE PF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00248] VANCOMICINA,VANCOMICINA,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00249] CEFTAZIDIMA,CEFTAZIDIMA,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00250] HIALURONATO DE SODIO 0.4% (LAGRICEL PF),HIALURONATO DE SODIO 0.4% (LAGRICEL PF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00251] LOTEPREDNOL ETABONATO 0,5% TOBRAMICINA 0,3% (LOTEMICIN)","LOTEPREDNOL ETABONATO 0,5% TOBRAMICINA 0,3% (LOTEMICIN)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00252] OLOPATADINA 0,2% (PATANOL S)","OLOPATADINA 0,2% (PATANOL S)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00253] NEPAFENACO 0.1% (NEVANAC),NEPAFENACO 0.1% (NEVANAC),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[MEDINT-00001] CONSULTA MEDICINA INTERNA,CONSULTA MEDICINA INTERNA,VENTA DE SERVICIO,SERVICIO
,[MEDINT-00002] CONSULTA MEDICA PARA ELABORACIÓN DE RIESGO QUIRURGICO,CONSULTA MEDICINA INTERNA,VENTA DE SERVICIO,SERVICIO
,[MNT-001206] COMPRA DE MONTURA,COMPRA DE MONTURA,VENTA DE MONTURAS,MONTURAS
,[MNT-001207] COMPRA DE MONTURAS OFTÁLMICAS - A CUENTA,COMPRA DE MONTURA,VENTA DE MONTURAS,MONTURAS
,[MNT-001208] COMPRA DE MONTURAS OFTÁLMICAS - SALDO,COMPRA DE MONTURA,VENTA DE MONTURAS,MONTURAS
,[OFT-00013] CONSULTA OFTALMOLÓGICA DR GALVEZ - ADULTO PROMO 50%,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00045] REXON EYE x SESIÓN,REXON EYE POR SESION,VENTA DE SERVICIO,SERVICIO
,[OFT-00046] REXON EYE - 4 SESIONES,REXON EYE 4 SESIONES,VENTA DE SERVICIO,SERVICIO
,[OFT-00053] CONSULTA OFTALMOLOGIA DRA DIAZ S/ 50,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00055] CONSULTA OFTALMOLÓGICA VIRTUAL,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00058] CONSULTA OFTALMOLOGIA DRA DIAZ S/ 80,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00070] CONSULTA OFTALMOLÓGICA DRA DIAZ - CONTROL,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00073] CONSULTA OCULOPLASTICA,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00074] CONSULTA OFTALMOLOGICA DRA DIAZ S/ 100,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00075] CONSULTA OFTALMOLOGICA DR GALVEZ CLUB GO 20%,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00075] CONSULTA OFTALMOLÓGICA DR GALVEZ CLUB GO 20%,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00075] CONSULTA OFTALMOLÓGICA DR GALVEZ CLUB GO 20%,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00076] CONSULTA OFTALMOLOGICA DRA DIAZ CLUB GO 20%,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00091] CONSULTA OFTALMOLÓGICA DR GALVEZ - ADULTO - REDES S/ 100,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00095] CONSULTA OFTALMOLÓGICA DR GALVEZ - ADULTO - REDES S/ 80,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[OFT-00104] FOTOCOAGULACION LASER CON ARGON OI,FOTOCOAGULACION LASER CON ARGON,VENTA DE SERVICIO,SERVICIO
,[OFT-00104] FOTOCOAGULACION LASER CON ARGON OI,FOTOCOAGULACION LASER CON ARGON,VENTA DE SERVICIO,SERVICIO
,[OFT-00107] LASER ACTIVA x SESIÓN,LASER ACTIVA x SESIÓN,VENTA DE SERVICIO - LABORATORIO,SERVICIO - LABORATORIO
,[SER-00002] MICROSCOPIA ESPECULAR,MICROSCOPIA ESPECULAR,VENTA DE SERVICIO,SERVICIO
,[SER-00003] CAMPO VISUAL,CAMPO VISUAL,VENTA DE SERVICIO,SERVICIO
,[SER-00004] CALCULO DE LIO O (BIOMETRÍA),CALCULO DE LIO,VENTA DE SERVICIO,SERVICIO
,[SER-00005] ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B,ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B,VENTA DE SERVICIO,SERVICIO
,[SER-00005] ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B,ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B,VENTA DE SERVICIO,SERVICIO
,[SER-00006] TOPOGRAFÍA CORNEAL - SIN INFORME,TOPOGRAFÍA CORNEAL - SIN INFORME,VENTA DE SERVICIO,SERVICIO
,[SER-00007] PAQUIMETRÍA,PAQUIMETRÍA,VENTA DE SERVICIO,SERVICIO
,[SER-00013] CONSULTA OFTALMOLÓGICA DR GALVEZ - ADULTO,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[SER-00014] CONSULTA OFTALMOLÓGICA DR GALVEZ - NIÑO,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[SER-00018] FOTO CLINICA S/ 100,FOTO CLINICA,VENTA DE SERVICIO,SERVICIO
,[SER-00025] ECOGRAFÍA DE SEGMENTO ANTERIOR - UBM,ECOGRAFÍA DE SEGMENTO ANTERIOR - UBM,VENTA DE SERVICIO,SERVICIO
,[SER-00036] CONSULTA OFTALMOLÓGICA DR CESPEDES,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
,[SER-00041] CONSULTA OFTALMOLÓGICA DRA TARAZONA 120,CONSULTA OFTALMOLÓGICA,VENTA DE SERVICIO,SERVICIO
