,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,[CX-00139] TRABECULOPLASTIA SELECTIVA LASER – SLT OI,TRABECULOPLASTIA SELECTIVA LASER – SLT,VENTA DE SERVICIO,SERVICIO
,[CX-00146] CX FACO OD,FACO,VENTA DE SERVICIO,SERVICIO
,[CX-00149] LENTE DE CONTACTO,LENTE DE CONTACTO,VENTA DE LENTE DE CONTACTO,LENTE DE CONTACTO
,[CX-00149] LENTE DE CONTACTO,LENTE DE CONTACTO,VENTA DE LENTES DE CONTACTO,LENTES DE CONTACTO
,[CX-00191] CX EXTRA CAPSULAR OI,EXTRACAPSULAR,VENTA DE SERVICIO,SERVICIO
,[CX-00198] LASER PUPILOPLASTIA OD,LASER PUPILOPLASTIA,VENTA DE SERVICIO,SERVICIO
,[CX-00216] CX PARA RECAMBIO DE LENTE INTRAOCULAR,RECAMBIO LENTRE INTRAOCULAR,VENTA DE SERVICIO,SERVICIO
,[CX-00219] TRIAMCINOLONA,TRIAMCINOLONA,VENTA DE SERVICIO,SERVICIO
,[IMG-00001] TOMOGRAFÍA DE COHERENCIA ÓPTICA,TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00023] INFORME MEDICO,INFORME MÉDICO,VENTA DE SERVICIO,SERVICIO
,[IMG-00029] REFRACCIÓN SIN CICLOPEJÍA,REFRACCIÓN SIN CICLOPEJÍA,VENTA DE SERVICIO,SERVICIO
,[IMG-00034] TEST DE SOBRECARGA HIDRICA,TEST DE SOBRECARGA HÍDRICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00034] TEST DE SOBRECARGA HIDRICA,TEST DE SOBRECARGA HÍDRICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00044] ELECTROCARDIOGRAMA (EKG) - SIN INTERPRETACIÓN,ELECTROCARDIOGRAMA (EKG) - SIN INTERPRETACIÓN,VENTA DE SERVICIO,SERVICIO
,[IMG-00056] TOMOGRAFÍA DE COHERENCIA ÓPTICA TOPCON,TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00056] TOMOGRAFÍA DE COHERENCIA ÓPTICA TOPCON,TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00057] TOMOGRAFÍA DE COHERENCIA ÓPTICA OPTOVUE SIN INFORME,TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00058] CAMPO VISUAL OPTOPOL,CAMPO VISUAL,VENTA DE SERVICIO,SERVICIO
,[IMG-00059] CAMPO VISUAL COMPASS,CAMPO VISUAL,VENTA DE SERVICIO,SERVICIO
,[IMG-00060] CAMPO VISUAL COMPASS CLUB GO,CAMPO VISUAL,VENTA DE SERVICIO,SERVICIO
,[IMG-00061] MICROSCOPIA ESPECULAR CLUB GO,MICROSCOPIA ESPECULAR,VENTA DE SERVICIO,SERVICIO
,[IMG-00062] CAMPO VISUAL OPTOPOL CLUB GO,CAMPO VISUAL,VENTA DE SERVICIO,SERVICIO
,[IMG-00063] TOMOGRAFÍA DE COHERENCIA ÓPTICA TOPCON CLUB GO,TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00064] TEST DE SOBRECARGA HIDRICA CLUB GO 20%,TEST DE SOBRECARGA HÍDRICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00065] RETINOGRAFÍA CLUB GO,RETINOGRAFÍA,VENTA DE SERVICIO,SERVICIO
,[IMG-00070] TOMOGRAFIA (NERVIO OPTICO),TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00072] TOMOGRAFIA (MACULA),TOMOGRAFÍA DE COHERENCIA ÓPTICA,VENTA DE SERVICIO,SERVICIO
,[IMG-00077] HISTERESIS CORNEAL ORA,HISTERESIS CORNEAL,VENTA DE SERVICIO,SERVICIO
,[IMG-00077] HISTERESIS CORNEAL ORA,HISTERESIS CORNEAL,VENTA DE SERVICIO,SERVICIO
